id,name,sku,barcode,description,price,stock_quantity,category_name
248,Imported Cereal,SKU-0248,1001001000248,Imported Cereal - A detailed description of the product.,4.9,237,Groceries
249,Budget Floor Cleaner,SKU-0249,1001001000249,Budget Floor Cleaner - A detailed description of the product.,5.17,242,Beverages
250,High-Quality Cereal,SKU-0250,1001001000250,High-Quality Cereal - A detailed description of the product.,47.16,393,Home Essentials
251,High-Quality Shampoo,SKU-0251,1001001000251,High-Quality Shampoo - A detailed description of the product.,45.17,486,Beverages
252,Large Orange Juice,SKU-0252,1001001000252,Large Orange Juice - A detailed description of the product.,34.04,74,Furniture
253,Premium Body Wash,SKU-0253,1001001000253,Premium Body Wash - A detailed description of the product.,19.56,405,Home Essentials
254,Imported LED Bulb,SKU-0254,1001001000254,Imported LED Bulb - A detailed description of the product.,24.22,130,Furniture
255,Small Batteries,SKU-0255,1001001000255,Small Batteries - A detailed description of the product.,13.2,308,Stationery
256,Small Body Wash,SKU-0256,1001001000256,Small Body Wash - A detailed description of the product.,42.06,322,Clothing
257,Premium Energy Drink,SKU-0257,1001001000257,Premium Energy Drink - A detailed description of the product.,11.33,245,Electronics
258,Eco-friendly Kitchen Towel,SKU-0258,1001001000258,Eco-friendly Kitchen Towel - A detailed description of the product.,30.82,402,Stationery
259,Eco-friendly Coffee Powder,SKU-0259,1001001000259,Eco-friendly Coffee Powder - A detailed description of the product.,47.47,328,Stationery
260,Imported Sugar,SKU-0260,1001001000260,Imported Sugar - A detailed description of the product.,11.55,487,Beverages
261,Eco-friendly Soap Bar,SKU-0261,1001001000261,Eco-friendly Soap Bar - A detailed description of the product.,46.8,130,Personal Care
262,Small Desk Lamp,SKU-0262,1001001000262,Small Desk Lamp - A detailed description of the product.,39.51,50,Stationery
263,Eco-friendly Water Bottle,SKU-0263,1001001000263,Eco-friendly Water Bottle - A detailed description of the product.,19.85,125,Stationery
264,Budget Kitchen Towel,SKU-0264,1001001000264,Budget Kitchen Towel - A detailed description of the product.,27.23,318,Clothing
265,Imported Water Bottle,SKU-0265,1001001000265,Imported Water Bottle - A detailed description of the product.,11.62,321,Clothing
266,High-Quality Laptop Sleeve,SKU-0266,1001001000266,High-Quality Laptop Sleeve - A detailed description of the product.,34.71,115,Beverages
267,Eco-friendly USB Cable,SKU-0267,1001001000267,Eco-friendly USB Cable - A detailed description of the product.,24.76,430,Furniture
268,Imported Cola,SKU-0268,1001001000268,Imported Cola - A detailed description of the product.,34.43,182,Groceries
269,High-Quality Energy Drink,SKU-0269,1001001000269,High-Quality Energy Drink - A detailed description of the product.,42.51,148,Toys
270,Budget Cereal,SKU-0270,1001001000270,Budget Cereal - A detailed description of the product.,15.95,235,Groceries
271,Small Rice,SKU-0271,1001001000271,Small Rice - A detailed description of the product.,24.26,112,Personal Care
272,Eco-friendly Hair Dryer,SKU-0272,1001001000272,Eco-friendly Hair Dryer - A detailed description of the product.,1.11,219,Clothing
273,Eco-friendly USB Cable,SKU-0273,1001001000273,Eco-friendly USB Cable - A detailed description of the product.,5.7,356,Beverages
274,Budget Soap Bar,SKU-0274,1001001000274,Budget Soap Bar - A detailed description of the product.,20.33,204,Home Essentials
275,Eco-friendly Chocolate Bar,SKU-0275,1001001000275,Eco-friendly Chocolate Bar - A detailed description of the product.,16.17,352,Toys
276,Budget Energy Drink,SKU-0276,1001001000276,Budget Energy Drink - A detailed description of the product.,14.23,87,Personal Care
277,Large Soap Bar,SKU-0277,1001001000277,Large Soap Bar - A detailed description of the product.,17.2,106,Home Essentials
278,High-Quality Bread,SKU-0278,1001001000278,High-Quality Bread - A detailed description of the product.,26.44,119,Electronics
279,Small Shampoo,SKU-0279,1001001000279,Small Shampoo - A detailed description of the product.,45.94,219,Toys
280,Large Bread,SKU-0280,1001001000280,Large Bread - A detailed description of the product.,18.7,39,Home Essentials
281,High-Quality LED Bulb,SKU-0281,1001001000281,High-Quality LED Bulb - A detailed description of the product.,12.73,441,Stationery
282,Budget Shampoo,SKU-0282,1001001000282,Budget Shampoo - A detailed description of the product.,49.33,413,Beverages
283,Imported Laptop Sleeve,SKU-0283,1001001000283,Imported Laptop Sleeve - A detailed description of the product.,22.16,159,Furniture
284,Large Energy Drink,SKU-0284,1001001000284,Large Energy Drink - A detailed description of the product.,36.61,311,Clothing
285,Budget Milk,SKU-0285,1001001000285,Budget Milk - A detailed description of the product.,12.56,312,Clothing
286,Large Notebook,SKU-0286,1001001000286,Large Notebook - A detailed description of the product.,43.8,116,Electronics
287,Organic Soap Bar,SKU-0287,1001001000287,Organic Soap Bar - A detailed description of the product.,42.76,157,Furniture
288,Imported Rice,SKU-0288,1001001000288,Imported Rice - A detailed description of the product.,25.79,247,Beverages
289,High-Quality Cola,SKU-0289,1001001000289,High-Quality Cola - A detailed description of the product.,38.05,117,Beverages
290,Budget Floor Cleaner,SKU-0290,1001001000290,Budget Floor Cleaner - A detailed description of the product.,36.4,415,Personal Care
291,Small Cereal,SKU-0291,1001001000291,Small Cereal - A detailed description of the product.,42.6,93,Stationery
292,Eco-friendly Toy Car,SKU-0292,1001001000292,Eco-friendly Toy Car - A detailed description of the product.,24.34,342,Groceries
293,Budget Smartphone Charger,SKU-0293,1001001000293,Budget Smartphone Charger - A detailed description of the product.,39.31,309,Home Essentials
294,Budget Toy Car,SKU-0294,1001001000294,Budget Toy Car - A detailed description of the product.,45.55,407,Clothing
295,Large Soap Bar,SKU-0295,1001001000295,Large Soap Bar - A detailed description of the product.,1.64,366,Beverages
296,Premium Cereal,SKU-0296,1001001000296,Premium Cereal - A detailed description of the product.,5.5,235,Furniture
297,Premium Body Wash,SKU-0297,1001001000297,Premium Body Wash - A detailed description of the product.,22.07,244,Home Essentials
298,Organic Orange Juice,SKU-0298,1001001000298,Organic Orange Juice - A detailed description of the product.,8.82,105,Beverages
299,Eco-friendly Cola,SKU-0299,1001001000299,Eco-friendly Cola - A detailed description of the product.,11.91,57,Personal Care
300,High-Quality Shampoo,SKU-0300,1001001000300,High-Quality Shampoo - A detailed description of the product.,47.79,498,Personal Care
301,Budget LED Bulb,SKU-0301,1001001000301,Budget LED Bulb - A detailed description of the product.,17.42,136,Furniture
302,Premium Water Bottle,SKU-0302,1001001000302,Premium Water Bottle - A detailed description of the product.,27.12,482,Stationery
303,Large Toy Car,SKU-0303,1001001000303,Large Toy Car - A detailed description of the product.,11.15,460,Home Essentials
304,Organic Rice,SKU-0304,1001001000304,Organic Rice - A detailed description of the product.,39.34,199,Toys
305,Small Floor Cleaner,SKU-0305,1001001000305,Small Floor Cleaner - A detailed description of the product.,40.17,101,Toys
306,Eco-friendly Notebook,SKU-0306,1001001000306,Eco-friendly Notebook - A detailed description of the product.,33.96,382,Personal Care
307,Imported Shampoo,SKU-0307,1001001000307,Imported Shampoo - A detailed description of the product.,43.16,107,Home Essentials
308,Imported Cola,SKU-0308,1001001000308,Imported Cola - A detailed description of the product.,41.73,470,Personal Care
309,Premium Cola,SKU-0309,1001001000309,Premium Cola - A detailed description of the product.,13.02,84,Stationery
310,High-Quality Energy Drink,SKU-0310,1001001000310,High-Quality Energy Drink - A detailed description of the product.,10.25,427,Electronics
311,High-Quality Notebook,SKU-0311,1001001000311,High-Quality Notebook - A detailed description of the product.,49.83,368,Home Essentials
312,High-Quality Office Chair,SKU-0312,1001001000312,High-Quality Office Chair - A detailed description of the product.,38.36,325,Clothing
313,High-Quality Desk Lamp,SKU-0313,1001001000313,High-Quality Desk Lamp - A detailed description of the product.,27.72,90,Electronics
314,Premium Water Bottle,SKU-0314,1001001000314,Premium Water Bottle - A detailed description of the product.,8.59,183,Stationery
315,Eco-friendly Milk,SKU-0315,1001001000315,Eco-friendly Milk - A detailed description of the product.,21.07,300,Furniture
316,High-Quality Floor Cleaner,SKU-0316,1001001000316,High-Quality Floor Cleaner - A detailed description of the product.,12.58,117,Groceries
317,Budget Desk Lamp,SKU-0317,1001001000317,Budget Desk Lamp - A detailed description of the product.,6.09,129,Personal Care
318,Large Milk,SKU-0318,1001001000318,Large Milk - A detailed description of the product.,30.01,107,Groceries
319,Eco-friendly Washing Powder,SKU-0319,1001001000319,Eco-friendly Washing Powder - A detailed description of the product.,17.51,339,Home Essentials
320,Eco-friendly Washing Powder,SKU-0320,1001001000320,Eco-friendly Washing Powder - A detailed description of the product.,24.31,222,Stationery
321,Imported Milk,SKU-0321,1001001000321,Imported Milk - A detailed description of the product.,28.41,369,Stationery
322,Eco-friendly Bread,SKU-0322,1001001000322,Eco-friendly Bread - A detailed description of the product.,8.08,434,Personal Care
323,Eco-friendly Notebook,SKU-0323,1001001000323,Eco-friendly Notebook - A detailed description of the product.,6.04,367,Groceries
324,Imported Cereal,SKU-0324,1001001000324,Imported Cereal - A detailed description of the product.,15.42,230,Personal Care
325,Organic Soap Bar,SKU-0325,1001001000325,Organic Soap Bar - A detailed description of the product.,38.0,53,Home Essentials
326,Budget Sugar,SKU-0326,1001001000326,Budget Sugar - A detailed description of the product.,19.25,450,Stationery
327,Small Milk,SKU-0327,1001001000327,Small Milk - A detailed description of the product.,21.99,418,Electronics
328,Large Air Freshener,SKU-0328,1001001000328,Large Air Freshener - A detailed description of the product.,36.65,192,Electronics
329,Organic Laptop Sleeve,SKU-0329,1001001000329,Organic Laptop Sleeve - A detailed description of the product.,29.31,307,Stationery
330,Premium Bread,SKU-0330,1001001000330,Premium Bread - A detailed description of the product.,28.95,211,Furniture
331,High-Quality Orange Juice,SKU-0331,1001001000331,High-Quality Orange Juice - A detailed description of the product.,29.12,65,Personal Care
332,Budget Chocolate Bar,SKU-0332,1001001000332,Budget Chocolate Bar - A detailed description of the product.,24.54,349,Clothing
333,Imported Butter,SKU-0333,1001001000333,Imported Butter - A detailed description of the product.,35.3,374,Personal Care
334,Small Toy Car,SKU-0334,1001001000334,Small Toy Car - A detailed description of the product.,17.36,281,Groceries
335,Small Toy Car,SKU-0335,1001001000335,Small Toy Car - A detailed description of the product.,7.38,221,Toys
336,High-Quality Soap Bar,SKU-0336,1001001000336,High-Quality Soap Bar - A detailed description of the product.,30.29,296,Groceries
337,Budget Notebook,SKU-0337,1001001000337,Budget Notebook - A detailed description of the product.,24.68,469,Clothing
338,Small Chocolate Bar,SKU-0338,1001001000338,Small Chocolate Bar - A detailed description of the product.,2.16,215,Clothing
339,High-Quality Hair Dryer,SKU-0339,1001001000339,High-Quality Hair Dryer - A detailed description of the product.,30.6,67,Stationery
340,Eco-friendly Air Freshener,SKU-0340,1001001000340,Eco-friendly Air Freshener - A detailed description of the product.,10.8,490,Groceries
341,Premium Batteries,SKU-0341,1001001000341,Premium Batteries - A detailed description of the product.,14.84,169,Personal Care
342,Eco-friendly Notebook,SKU-0342,1001001000342,Eco-friendly Notebook - A detailed description of the product.,4.68,68,Stationery
343,Organic USB Cable,SKU-0343,1001001000343,Organic USB Cable - A detailed description of the product.,33.51,124,Clothing
344,Premium Office Chair,SKU-0344,1001001000344,Premium Office Chair - A detailed description of the product.,9.92,50,Personal Care
345,Imported LED Bulb,SKU-0345,1001001000345,Imported LED Bulb - A detailed description of the product.,36.6,14,Furniture
346,Small Shampoo,SKU-0346,1001001000346,Small Shampoo - A detailed description of the product.,24.84,23,Personal Care
347,Small Orange Juice,SKU-0347,1001001000347,Small Orange Juice - A detailed description of the product.,16.83,362,Groceries
348,Organic Sugar,SKU-0348,1001001000348,Organic Sugar - A detailed description of the product.,3.26,15,Clothing
349,Premium Office Chair,SKU-0349,1001001000349,Premium Office Chair - A detailed description of the product.,14.39,476,Personal Care
350,Small Pack of Pens,SKU-0350,1001001000350,Small Pack of Pens - A detailed description of the product.,47.31,474,Furniture
351,Organic Sugar,SKU-0351,1001001000351,Organic Sugar - A detailed description of the product.,13.77,376,Beverages
352,High-Quality Milk,SKU-0352,1001001000352,High-Quality Milk - A detailed description of the product.,34.21,441,Home Essentials
353,Small Notebook,SKU-0353,1001001000353,Small Notebook - A detailed description of the product.,9.16,308,Furniture
354,Large Shampoo,SKU-0354,1001001000354,Large Shampoo - A detailed description of the product.,38.36,265,Beverages
355,Budget Coffee Powder,SKU-0355,1001001000355,Budget Coffee Powder - A detailed description of the product.,43.07,315,Groceries
356,Budget USB Cable,SKU-0356,1001001000356,Budget USB Cable - A detailed description of the product.,38.56,147,Furniture
357,Budget Energy Drink,SKU-0357,1001001000357,Budget Energy Drink - A detailed description of the product.,7.85,80,Toys
358,Eco-friendly Kitchen Towel,SKU-0358,1001001000358,Eco-friendly Kitchen Towel - A detailed description of the product.,15.79,497,Electronics
359,High-Quality Hair Dryer,SKU-0359,1001001000359,High-Quality Hair Dryer - A detailed description of the product.,39.83,325,Beverages
360,Small Smartphone Charger,SKU-0360,1001001000360,Small Smartphone Charger - A detailed description of the product.,38.1,45,Beverages
361,Eco-friendly LED Bulb,SKU-0361,1001001000361,Eco-friendly LED Bulb - A detailed description of the product.,27.43,469,Personal Care
362,Large Kitchen Towel,SKU-0362,1001001000362,Large Kitchen Towel - A detailed description of the product.,27.69,140,Toys
363,Large Bread,SKU-0363,1001001000363,Large Bread - A detailed description of the product.,20.67,261,Personal Care
364,High-Quality Butter,SKU-0364,1001001000364,High-Quality Butter - A detailed description of the product.,49.48,80,Home Essentials
365,Premium Rice,SKU-0365,1001001000365,Premium Rice - A detailed description of the product.,26.21,350,Clothing
366,Organic Rice,SKU-0366,1001001000366,Organic Rice - A detailed description of the product.,42.82,433,Personal Care
367,Imported Office Chair,SKU-0367,1001001000367,Imported Office Chair - A detailed description of the product.,36.43,96,Beverages
368,Budget LED Bulb,SKU-0368,1001001000368,Budget LED Bulb - A detailed description of the product.,23.15,86,Groceries
369,Large Laptop Sleeve,SKU-0369,1001001000369,Large Laptop Sleeve - A detailed description of the product.,32.8,439,Home Essentials
370,Organic Office Chair,SKU-0370,1001001000370,Organic Office Chair - A detailed description of the product.,8.61,213,Toys
371,Small Water Bottle,SKU-0371,1001001000371,Small Water Bottle - A detailed description of the product.,34.09,74,Groceries
372,High-Quality Energy Drink,SKU-0372,1001001000372,High-Quality Energy Drink - A detailed description of the product.,32.66,439,Personal Care
373,Budget Butter,SKU-0373,1001001000373,Budget Butter - A detailed description of the product.,24.54,398,Personal Care
374,Large Bread,SKU-0374,1001001000374,Large Bread - A detailed description of the product.,30.18,386,Electronics
375,Eco-friendly Office Chair,SKU-0375,1001001000375,Eco-friendly Office Chair - A detailed description of the product.,21.42,14,Home Essentials
376,Eco-friendly Soap Bar,SKU-0376,1001001000376,Eco-friendly Soap Bar - A detailed description of the product.,30.69,128,Electronics
377,Imported Batteries,SKU-0377,1001001000377,Imported Batteries - A detailed description of the product.,10.82,15,Electronics
378,Large Milk,SKU-0378,1001001000378,Large Milk - A detailed description of the product.,28.37,493,Groceries
379,Small Energy Drink,SKU-0379,1001001000379,Small Energy Drink - A detailed description of the product.,24.05,343,Groceries
380,High-Quality Soap Bar,SKU-0380,1001001000380,High-Quality Soap Bar - A detailed description of the product.,19.54,89,Stationery
381,Eco-friendly Cola,SKU-0381,1001001000381,Eco-friendly Cola - A detailed description of the product.,1.45,88,Groceries
382,High-Quality Office Chair,SKU-0382,1001001000382,High-Quality Office Chair - A detailed description of the product.,18.89,214,Furniture
383,Organic Butter,SKU-0383,1001001000383,Organic Butter - A detailed description of the product.,18.09,459,Electronics
384,High-Quality Toy Car,SKU-0384,1001001000384,High-Quality Toy Car - A detailed description of the product.,43.69,197,Toys
385,Organic Sugar,SKU-0385,1001001000385,Organic Sugar - A detailed description of the product.,28.56,400,Toys
386,Eco-friendly Notebook,SKU-0386,1001001000386,Eco-friendly Notebook - A detailed description of the product.,22.26,236,Clothing
387,Budget Milk,SKU-0387,1001001000387,Budget Milk - A detailed description of the product.,20.15,499,Home Essentials
388,Eco-friendly LED Bulb,SKU-0388,1001001000388,Eco-friendly LED Bulb - A detailed description of the product.,34.88,113,Furniture
389,Small Shampoo,SKU-0389,1001001000389,Small Shampoo - A detailed description of the product.,42.78,189,Clothing
390,Imported Laptop Sleeve,SKU-0390,1001001000390,Imported Laptop Sleeve - A detailed description of the product.,14.6,473,Groceries
391,Budget Cereal,SKU-0391,1001001000391,Budget Cereal - A detailed description of the product.,5.45,356,Clothing
392,Organic Cola,SKU-0392,1001001000392,Organic Cola - A detailed description of the product.,11.02,27,Toys
393,Large Sugar,SKU-0393,1001001000393,Large Sugar - A detailed description of the product.,47.2,282,Furniture
394,Small Body Wash,SKU-0394,1001001000394,Small Body Wash - A detailed description of the product.,5.21,180,Clothing
395,Small Batteries,SKU-0395,1001001000395,Small Batteries - A detailed description of the product.,31.6,294,Toys
396,Premium Cola,SKU-0396,1001001000396,Premium Cola - A detailed description of the product.,5.65,369,Furniture
397,Eco-friendly Air Freshener,SKU-0397,1001001000397,Eco-friendly Air Freshener - A detailed description of the product.,20.26,435,Personal Care
398,Organic Laptop Sleeve,SKU-0398,1001001000398,Organic Laptop Sleeve - A detailed description of the product.,25.97,58,Furniture
399,Premium Air Freshener,SKU-0399,1001001000399,Premium Air Freshener - A detailed description of the product.,42.79,393,Electronics
400,Imported Notebook,SKU-0400,1001001000400,Imported Notebook - A detailed description of the product.,3.27,411,Clothing
401,Large Cola,SKU-0401,1001001000401,Large Cola - A detailed description of the product.,39.48,58,Beverages
402,High-Quality Water Bottle,SKU-0402,1001001000402,High-Quality Water Bottle - A detailed description of the product.,38.55,444,Electronics
403,Premium Notebook,SKU-0403,1001001000403,Premium Notebook - A detailed description of the product.,35.56,350,Toys
404,Eco-friendly Shampoo,SKU-0404,1001001000404,Eco-friendly Shampoo - A detailed description of the product.,27.4,178,Beverages
405,Budget Butter,SKU-0405,1001001000405,Budget Butter - A detailed description of the product.,11.47,215,Electronics
406,Large Orange Juice,SKU-0406,1001001000406,Large Orange Juice - A detailed description of the product.,26.16,83,Groceries
407,Large Bread,SKU-0407,1001001000407,Large Bread - A detailed description of the product.,27.98,250,Clothing
408,Imported Soap Bar,SKU-0408,1001001000408,Imported Soap Bar - A detailed description of the product.,27.5,240,Beverages
409,Small Batteries,SKU-0409,1001001000409,Small Batteries - A detailed description of the product.,3.83,18,Groceries
410,Imported Rice,SKU-0410,1001001000410,Imported Rice - A detailed description of the product.,26.59,339,Electronics
411,Eco-friendly Kitchen Towel,SKU-0411,1001001000411,Eco-friendly Kitchen Towel - A detailed description of the product.,6.69,50,Clothing
412,High-Quality Butter,SKU-0412,1001001000412,High-Quality Butter - A detailed description of the product.,3.39,393,Clothing
413,Small Cereal,SKU-0413,1001001000413,Small Cereal - A detailed description of the product.,10.93,13,Electronics
414,Organic Soap Bar,SKU-0414,1001001000414,Organic Soap Bar - A detailed description of the product.,36.38,240,Electronics
415,Eco-friendly Desk Lamp,SKU-0415,1001001000415,Eco-friendly Desk Lamp - A detailed description of the product.,4.63,260,Stationery
416,Imported Air Freshener,SKU-0416,1001001000416,Imported Air Freshener - A detailed description of the product.,19.16,352,Furniture
417,Large Chocolate Bar,SKU-0417,1001001000417,Large Chocolate Bar - A detailed description of the product.,15.71,266,Electronics
418,Premium Washing Powder,SKU-0418,1001001000418,Premium Washing Powder - A detailed description of the product.,20.81,289,Stationery
419,Premium LED Bulb,SKU-0419,1001001000419,Premium LED Bulb - A detailed description of the product.,12.05,15,Clothing
420,Organic Laptop Sleeve,SKU-0420,1001001000420,Organic Laptop Sleeve - A detailed description of the product.,25.27,167,Clothing
421,Premium Soap Bar,SKU-0421,1001001000421,Premium Soap Bar - A detailed description of the product.,25.5,219,Beverages
422,Imported Orange Juice,SKU-0422,1001001000422,Imported Orange Juice - A detailed description of the product.,8.53,83,Furniture
423,Imported Bread,SKU-0423,1001001000423,Imported Bread - A detailed description of the product.,34.81,417,Stationery
424,High-Quality Bread,SKU-0424,1001001000424,High-Quality Bread - A detailed description of the product.,4.28,305,Clothing
425,Large Energy Drink,SKU-0425,1001001000425,Large Energy Drink - A detailed description of the product.,45.57,288,Furniture
426,Organic Butter,SKU-0426,1001001000426,Organic Butter - A detailed description of the product.,34.91,483,Toys
427,Premium Hair Dryer,SKU-0427,1001001000427,Premium Hair Dryer - A detailed description of the product.,8.83,477,Toys
428,Organic Notebook,SKU-0428,1001001000428,Organic Notebook - A detailed description of the product.,42.03,200,Electronics
429,Budget Water Bottle,SKU-0429,1001001000429,Budget Water Bottle - A detailed description of the product.,14.91,233,Stationery
430,Organic Smartphone Charger,SKU-0430,1001001000430,Organic Smartphone Charger - A detailed description of the product.,27.57,284,Furniture
431,Budget Coffee Powder,SKU-0431,1001001000431,Budget Coffee Powder - A detailed description of the product.,25.96,132,Groceries
432,Premium Floor Cleaner,SKU-0432,1001001000432,Premium Floor Cleaner - A detailed description of the product.,3.94,178,Groceries
433,Eco-friendly Body Wash,SKU-0433,1001001000433,Eco-friendly Body Wash - A detailed description of the product.,7.55,200,Home Essentials
434,Imported USB Cable,SKU-0434,1001001000434,Imported USB Cable - A detailed description of the product.,33.35,227,Electronics
435,Imported Cereal,SKU-0435,1001001000435,Imported Cereal - A detailed description of the product.,17.78,234,Toys
436,Small Pack of Pens,SKU-0436,1001001000436,Small Pack of Pens - A detailed description of the product.,43.21,479,Furniture
437,Small Energy Drink,SKU-0437,1001001000437,Small Energy Drink - A detailed description of the product.,24.35,257,Beverages
438,Organic Laptop Sleeve,SKU-0438,1001001000438,Organic Laptop Sleeve - A detailed description of the product.,29.7,292,Home Essentials
439,Imported Floor Cleaner,SKU-0439,1001001000439,Imported Floor Cleaner - A detailed description of the product.,10.27,189,Beverages
440,Premium Cola,SKU-0440,1001001000440,Premium Cola - A detailed description of the product.,49.19,470,Personal Care
441,Organic Desk Lamp,SKU-0441,1001001000441,Organic Desk Lamp - A detailed description of the product.,39.93,34,Toys
442,Eco-friendly Notebook,SKU-0442,1001001000442,Eco-friendly Notebook - A detailed description of the product.,46.02,133,Beverages
443,Imported USB Cable,SKU-0443,1001001000443,Imported USB Cable - A detailed description of the product.,23.84,104,Home Essentials
444,Imported Energy Drink,SKU-0444,1001001000444,Imported Energy Drink - A detailed description of the product.,14.2,346,Personal Care
445,Imported Coffee Powder,SKU-0445,1001001000445,Imported Coffee Powder - A detailed description of the product.,44.44,70,Toys
446,Premium Washing Powder,SKU-0446,1001001000446,Premium Washing Powder - A detailed description of the product.,25.31,443,Furniture
447,High-Quality Notebook,SKU-0447,1001001000447,High-Quality Notebook - A detailed description of the product.,31.06,494,Electronics
448,Imported Air Freshener,SKU-0448,1001001000448,Imported Air Freshener - A detailed description of the product.,47.84,202,Stationery
449,Organic Coffee Powder,SKU-0449,1001001000449,Organic Coffee Powder - A detailed description of the product.,39.8,201,Groceries
450,High-Quality Water Bottle,SKU-0450,1001001000450,High-Quality Water Bottle - A detailed description of the product.,34.59,27,Clothing
451,Organic Rice,SKU-0451,1001001000451,Organic Rice - A detailed description of the product.,41.72,322,Clothing
452,Small Body Wash,SKU-0452,1001001000452,Small Body Wash - A detailed description of the product.,19.08,34,Furniture
453,Small Hair Dryer,SKU-0453,1001001000453,Small Hair Dryer - A detailed description of the product.,4.44,219,Clothing
454,Large Office Chair,SKU-0454,1001001000454,Large Office Chair - A detailed description of the product.,15.22,251,Home Essentials
455,Imported Shampoo,SKU-0455,1001001000455,Imported Shampoo - A detailed description of the product.,11.69,187,Furniture
456,Large Notebook,SKU-0456,1001001000456,Large Notebook - A detailed description of the product.,38.85,416,Beverages
457,Imported Coffee Powder,SKU-0457,1001001000457,Imported Coffee Powder - A detailed description of the product.,7.68,228,Home Essentials
458,Organic USB Cable,SKU-0458,1001001000458,Organic USB Cable - A detailed description of the product.,23.26,482,Clothing
459,Premium Milk,SKU-0459,1001001000459,Premium Milk - A detailed description of the product.,46.24,338,Beverages
460,Small Bread,SKU-0460,1001001000460,Small Bread - A detailed description of the product.,2.55,476,Toys
461,Premium Orange Juice,SKU-0461,1001001000461,Premium Orange Juice - A detailed description of the product.,46.78,231,Toys
462,Organic Air Freshener,SKU-0462,1001001000462,Organic Air Freshener - A detailed description of the product.,18.58,499,Electronics
463,Budget Water Bottle,SKU-0463,1001001000463,Budget Water Bottle - A detailed description of the product.,11.79,336,Clothing
464,Eco-friendly Milk,SKU-0464,1001001000464,Eco-friendly Milk - A detailed description of the product.,16.59,98,Groceries
465,Eco-friendly Desk Lamp,SKU-0465,1001001000465,Eco-friendly Desk Lamp - A detailed description of the product.,5.6,376,Furniture
466,Large Butter,SKU-0466,1001001000466,Large Butter - A detailed description of the product.,28.56,39,Furniture
467,High-Quality Sugar,SKU-0467,1001001000467,High-Quality Sugar - A detailed description of the product.,37.66,164,Beverages
468,Eco-friendly Body Wash,SKU-0468,1001001000468,Eco-friendly Body Wash - A detailed description of the product.,28.48,466,Home Essentials
469,Organic Desk Lamp,SKU-0469,1001001000469,Organic Desk Lamp - A detailed description of the product.,31.43,113,Personal Care
470,Premium Milk,SKU-0470,1001001000470,Premium Milk - A detailed description of the product.,2.51,156,Personal Care
471,Imported Orange Juice,SKU-0471,1001001000471,Imported Orange Juice - A detailed description of the product.,39.09,186,Personal Care
472,Small Toy Car,SKU-0472,1001001000472,Small Toy Car - A detailed description of the product.,23.84,379,Furniture
473,Organic Cola,SKU-0473,1001001000473,Organic Cola - A detailed description of the product.,39.69,315,Stationery
474,Eco-friendly Soap Bar,SKU-0474,1001001000474,Eco-friendly Soap Bar - A detailed description of the product.,43.95,279,Home Essentials
475,Eco-friendly Chocolate Bar,SKU-0475,1001001000475,Eco-friendly Chocolate Bar - A detailed description of the product.,32.65,411,Clothing
476,Eco-friendly Milk,SKU-0476,1001001000476,Eco-friendly Milk - A detailed description of the product.,32.77,74,Groceries
477,Premium Desk Lamp,SKU-0477,1001001000477,Premium Desk Lamp - A detailed description of the product.,10.48,14,Groceries
478,Budget Notebook,SKU-0478,1001001000478,Budget Notebook - A detailed description of the product.,45.46,466,Furniture
479,Large Laptop Sleeve,SKU-0479,1001001000479,Large Laptop Sleeve - A detailed description of the product.,23.88,82,Clothing
480,Premium Office Chair,SKU-0480,1001001000480,Premium Office Chair - A detailed description of the product.,2.37,27,Electronics
481,Eco-friendly Desk Lamp,SKU-0481,1001001000481,Eco-friendly Desk Lamp - A detailed description of the product.,22.68,258,Toys
482,High-Quality Cereal,SKU-0482,1001001000482,High-Quality Cereal - A detailed description of the product.,35.95,89,Toys
483,Eco-friendly Pack of Pens,SKU-0483,1001001000483,Eco-friendly Pack of Pens - A detailed description of the product.,34.73,40,Furniture
484,Eco-friendly Coffee Powder,SKU-0484,1001001000484,Eco-friendly Coffee Powder - A detailed description of the product.,37.26,327,Clothing
485,High-Quality Body Wash,SKU-0485,1001001000485,High-Quality Body Wash - A detailed description of the product.,20.37,87,Home Essentials
486,High-Quality Washing Powder,SKU-0486,1001001000486,High-Quality Washing Powder - A detailed description of the product.,49.02,98,Groceries
487,Premium Kitchen Towel,SKU-0487,1001001000487,Premium Kitchen Towel - A detailed description of the product.,27.51,257,Electronics
488,Organic LED Bulb,SKU-0488,1001001000488,Organic LED Bulb - A detailed description of the product.,46.07,378,Electronics
489,Small Body Wash,SKU-0489,1001001000489,Small Body Wash - A detailed description of the product.,16.79,407,Beverages
490,High-Quality Cereal,SKU-0490,1001001000490,High-Quality Cereal - A detailed description of the product.,5.96,204,Electronics
491,High-Quality Notebook,SKU-0491,1001001000491,High-Quality Notebook - A detailed description of the product.,46.62,68,Personal Care
492,Large Energy Drink,SKU-0492,1001001000492,Large Energy Drink - A detailed description of the product.,10.94,22,Clothing
493,Eco-friendly Rice,SKU-0493,1001001000493,Eco-friendly Rice - A detailed description of the product.,16.41,193,Furniture
494,Imported Laptop Sleeve,SKU-0494,1001001000494,Imported Laptop Sleeve - A detailed description of the product.,34.85,354,Beverages
495,Budget Pack of Pens,SKU-0495,1001001000495,Budget Pack of Pens - A detailed description of the product.,38.31,217,Groceries
